code,code,name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
472,472,Abu Ghosh,49909.0,140146.0,36579.0,50374.0,192200.0,98598.0,160885.0,79128.0,166047.0,53559.0,140037.0,53907.0,105472.0,61638.0,38164.0,126225.0,139006.0,53907.0,346380.0,13470.0,15305.0,134225.0,133204.0,12686.0,86931.0,16828.0,51657.0,54020.0,62193.0
473,473,Abu Sinan,121917.0,37108.0,132592.0,132741.0,55188.0,77757.0,11502.0,176240.0,64170.0,126558.0,38261.0,119951.0,209863.0,104436.0,142767.0,66484.0,37230.0,119951.0,450771.0,166654.0,168489.0,43085.0,42440.0,165870.0,91959.0,170012.0,122213.0,114591.0,159305.0
1342,1342,Abu Qureinat,133450.0,223687.0,114706.0,129985.0,275740.0,182138.0,244426.0,93876.0,249588.0,137100.0,223577.0,137448.0,31673.0,145179.0,108906.0,209766.0,222547.0,137448.0,223130.0,133812.0,135647.0,217766.0,216745.0,133028.0,170472.0,137170.0,135198.0,137561.0,101439.0
1375,1375,Abu Tulul,136729.0,226965.0,117984.0,133264.0,279019.0,185417.0,247704.0,97155.0,252866.0,140379.0,226856.0,140727.0,34952.0,148457.0,112185.0,213045.0,225826.0,140727.0,228265.0,137091.0,138926.0,221045.0,220024.0,136307.0,173751.0,140448.0,138477.0,140839.0,104718.0
652,652,Ibtin,100649.0,18699.0,111324.0,111473.0,76992.0,56489.0,35111.0,154972.0,50840.0,105290.0,18590.0,98682.0,188595.0,83167.0,121499.0,39247.0,17560.0,98682.0,429502.0,145386.0,147221.0,29755.0,29110.0,144602.0,70691.0,148744.0,100945.0,93323.0,138036.0
1275,1275,Avtalyon,125181.0,40928.0,135855.0,136004.0,39223.0,81020.0,41565.0,179504.0,38125.0,129821.0,42081.0,123214.0,213126.0,107699.0,146030.0,47185.0,41050.0,123214.0,454034.0,169917.0,171752.0,36720.0,36075.0,169133.0,95222.0,173275.0,125476.0,117854.0,162568.0
679,679,Avi'el,78591.0,51340.0,80992.0,72725.0,109212.0,19336.0,81536.0,122630.0,83059.0,66542.0,53658.0,76624.0,166536.0,50083.0,99440.0,44146.0,50386.0,76624.0,407444.0,123327.0,125162.0,52147.0,51126.0,122543.0,36323.0,126685.0,70345.0,71264.0,105694.0
1115,1115,Avivim,179581.0,81049.0,190256.0,190405.0,23459.0,135420.0,44699.0,233904.0,76181.0,184222.0,82202.0,177614.0,267527.0,162099.0,200431.0,85241.0,81171.0,177614.0,508434.0,224318.0,226153.0,78896.0,78219.0,223534.0,149623.0,227676.0,179877.0,172255.0,216968.0
819,819,Avigedor,52380.0,146399.0,37418.0,45237.0,198453.0,97369.0,167138.0,20141.0,172300.0,53719.0,146290.0,60160.0,61026.0,67891.0,22405.0,132478.0,145260.0,60160.0,301934.0,56174.0,58009.0,140479.0,139458.0,55390.0,85703.0,59532.0,54128.0,60273.0,16615.0
175,175,Avihayil,42084.0,66455.0,48795.0,40527.0,130740.0,19993.0,96651.0,90432.0,104587.0,34344.0,68773.0,37405.0,142011.0,27992.0,67229.0,64765.0,65501.0,37405.0,382919.0,98802.0,100637.0,72766.0,71745.0,98018.0,2000.0,102160.0,38147.0,37463.0,73496.0
