code,name,orgIndex,lat,long,nameIL
967,Abu Juway'ad,0,,,"Abu Juway'ad, Israel"
472,Abu Ghosh,1,31.806293,35.109193,"Abu Ghosh, Israel"
473,Abu Sinan,2,32.95803,35.171969,"Abu Sinan, Israel"
935,Abu Surayhan,3,,,"Abu Surayhan, Israel"
958,Abu 'Abdun,4,31.301397,34.841655,"Abu 'Abdun, Israel"
1042,Abu 'Ammar,5,,,"Abu 'Ammar, Israel"
932,Abu 'Amra,6,31.282188,34.872739,"Abu 'Amra, Israel"
1342,Abu Qureinat,7,31.145681,34.965476,"Abu Qureinat, Israel"
968,Abu Kuraynat,8,,,"Abu Kuraynat, Israel"
966,Abu Rubay'a,9,,,"Abu Rubay'a, Israel"
961,Abu Rukayyek,10,,,"Abu Rukayyek, Israel"
1375,Abu Tulul,11,31.142612,34.913514,"Abu Tulul, Israel"
652,Ibtin,12,32.759963,35.114601,"Ibtin, Israel"
1275,Avtalyon,13,32.835781,35.350442,"Avtalyon, Israel"
679,Avi'el,14,32.531346,34.993493,"Avi'el, Israel"
1115,Avivim,15,33.089381,35.470338,"Avivim, Israel"
819,Avigedor,16,31.711901,34.740369,"Avigedor, Israel"
175,Avihayil,17,32.350708,34.871229,"Avihayil, Israel"
2052,Avital,18,32.557676,35.306412,"Avital, Israel"
1070,Avi'ezer,19,31.681996,35.018821,"Avi'ezer, Israel"
1220,Abbirim,20,33.038086,35.286044,"Abbirim, Israel"
182,Even Yehuda,21,32.2700426,34.8809634,"Even Yehuda, Israel"
1081,Even Menahem,22,33.075143,35.295219,"Even Menahem, Israel"
783,Even Sappir,23,31.7625,35.134991,"Even Sappir, Israel"
400,Even Shemu'el,24,31.576429,34.762963,"Even Shemu'el, Israel"
4011,Avne Etan,25,32.824808,35.765777,"Avne Etan, Israel"
3793,Avne Hefez,26,32.284628,35.074551,"Avne Hefez, Israel"
3786,Avenat,27,31.679039,35.436945,"Avenat, Israel"
1311,Avshalom,28,31.195397,34.3312,"Avshalom, Israel"
3759,Adora,29,31.552219,35.017634,"Adora, Israel"
113,Addirim,30,32.548941,35.271637,"Addirim, Israel"
1068,Adamit,31,33.078842,35.20951,"Adamit, Israel"
1123,Adderet,32,31.659715,34.99444,"Adderet, Israel"
446,Udim,33,32.266865,34.846995,"Udim, Israel"
4010,Odem,34,33.1933716,35.7495651,"Odem, Israel"
1046,Ohad,35,31.238436,34.431893,"Ohad, Israel"
2710,Umm al-Fahm,36,32.517127,35.148529,"Umm al-Fahm, Israel"
2024,Umm Al-Qutuf,37,32.468084,35.059149,"Umm Al-Qutuf, Israel"
1358,Umm Batin,38,31.2767437,34.8829215,"Umm Batin, Israel"
1108,Omen,39,32.564279,35.241941,"Omen, Israel"
680,Omez,40,32.369216,34.993129,"Omez, Israel"
31,Ofaqim,41,31.311337,34.622824,"Ofaqim, Israel"
1294,Or HaGanuz,42,33.005183,35.446736,"Or HaGanuz, Israel"
67,Or HaNer,43,31.556197,34.602305,"Or HaNer, Israel"
2400,Or Yehuda,44,32.029748,34.856173,"Or Yehuda, Israel"
1020,Or Aqiva,45,32.509965,34.920394,"Or Aqiva, Israel"
780,Ora,46,31.752109,35.150165,"Ora, Israel"
2012,Orot,48,31.740364,34.7356,"Orot, Israel"
4013,Ortal,49,33.086236,35.758661,"Ortal, Israel"
403,Urim,50,31.304094,34.524868,"Urim, Israel"
882,Oranim,51,32.711224,35.109579,"Oranim, Israel"
3760,Oranit,52,32.131924,34.99081,"Oranit, Israel"
278,Usha,53,32.796458,35.114584,"Usha, Israel"
565,Azor,54,32.0245041,34.8058575,"Azor, Israel"
1157,Ahawa,140,31.7776829,35.2241978,"Ahawa, Israel"
821,Ahuzzam,141,31.552682,34.770151,"Ahuzzam, Israel"
1330,Ahuzzat Baraq,142,32.643101,35.338893,"Ahuzzat Baraq, Israel"
785,Ahihud,143,32.907405,35.171715,"Ahihud, Israel"
850,Ahituv,144,32.387701,34.990826,"Ahituv, Israel"
804,Ahisamakh,145,31.931906,34.908576,"Ahisamakh, Israel"
797,Ahi'ezer,146,31.981671,34.871821,"Ahi'ezer, Israel"
965,Atrash,147,31.264619,34.948587,"Atrash, Israel"
338,Ibbim,148,31.533597,34.609697,"Ibbim, Israel"
716,Eyal,149,32.210711,34.978259,"Eyal, Israel"
77,Ayyelet HaShahar,150,33.021115,35.576732,"Ayyelet HaShahar, Israel"
294,Elon,151,33.062526,35.219162,"Elon, Israel"
1126,Elot,153,29.580548,34.963023,"Elot, Israel"
49,Ilaniyya,154,32.753908,35.408188,"Ilaniyya, Israel"
2600,Elat,155,29.557669,34.951925,"Elat, Israel"
1336,Irus,156,31.9285746,34.7766539,"Irus, Israel"
3762,Itamar,157,32.173869,35.308029,"Itamar, Israel"
37,Etan,158,31.572213,34.747909,"Etan, Israel"
886,Etanim,159,31.7789,35.095169,"Etanim, Israel"
478,Iksal,160,32.682085,35.320743,"Iksal, Israel"
1339,Al-Azy,161,31.718868,34.814254,"Al-Azy, Israel"
