code,nameHeb,pronaunce,district,shire,naturalArea,monicipal,metro,religion,population,jewsAndOthers,jews,arabs,estbYear,type,ITM,altitude,orgazinationRelated,plansComit,policeArea,year,nameEng,localCuncil,name,lat,long
967,אבו ג'ווייעד (שבט),ABU JUWEI'ID,6,62,623.0,,,3.0,,,,,,460,,2040057100.0,,699.0,15003711.0,2018,Abu Juway'ad,,Abu Juway'ad,,
472,אבו גוש,ABU GHOSH,1,11,111.0,99.0,444.0,2.0,7543.0,97.0,79.0,7446.0,,280,,2105263481.0,598.0,152.0,10002475.0,2018,Abu Ghosh,,Abu Ghosh,31.806293,35.109193
473,אבו סנאן,ABU SINAN,2,24,245.0,99.0,,2.0,13915.0,28.0,11.0,13887.0,,270,,2160776284.0,19.0,252.0,10004315.0,2018,Abu Sinan,,Abu Sinan,32.95803,35.171969
935,אבו סריחאן (שבט),ABU SUREIHAN,6,62,623.0,,,3.0,,,,,,460,,1865057450.0,,699.0,10001937.0,2018,Abu Surayhan,,Abu Surayhan,,
958,אבו עבדון (שבט),ABU ABDUN,6,62,623.0,,,3.0,,,,,,460,,1850057900.0,,699.0,10001937.0,2018,Abu 'Abdun,,Abu 'Abdun,31.301396999999998,34.841654999999996
1042,אבו עמאר (שבט),ABU AMMAR,6,62,623.0,,,3.0,,,,,,460,,1950056700.0,,699.0,15003711.0,2018,Abu 'Ammar,,Abu 'Ammar,,
932,אבו עמרה (שבט),ABU AMRE,6,62,623.0,,,3.0,,,,,,460,,1850057100.0,,699.0,10001937.0,2018,Abu 'Amra,,Abu 'Amra,31.282188,34.872739
1342,אבו קורינאת (יישוב),ABU QUREINAT,6,62,623.0,68.0,,2.0,1815.0,,,1815.0,,450,,1963656105.0,410.0,624.0,15003711.0,2018,Abu Qureinat,610.0,Abu Qureinat,31.145681,34.965476
968,אבו קורינאת (שבט),ABU QUREINAT,6,62,623.0,,,3.0,,,,,,460,,1970056000.0,,699.0,15003711.0,2018,Abu Kuraynat,,Abu Kuraynat,,
966,אבו רובייעה (שבט),ABU RUBEI'A,6,62,623.0,,,3.0,,,,,,460,,2050057200.0,,699.0,10001937.0,2018,Abu Rubay'a,,Abu Rubay'a,,
961,אבו רוקייק (שבט),ABU RUQAYYEQ,6,62,623.0,,,3.0,,,,,,460,,1920056600.0,,699.0,15003711.0,2018,Abu Rukayyek,,Abu Rukayyek,,
1375,אבו תלול,ABU TULUL,6,62,623.0,68.0,,2.0,1822.0,1.0,,1821.0,,450,,1933456589.0,340.0,624.0,15003711.0,2018,Abu Tulul,610.0,Abu Tulul,31.142612,34.913514
652,אבטין,IBTIN,3,31,311.0,12.0,222.0,2.0,2773.0,2.0,2.0,2771.0,,290,,2108874076.0,19.0,301.0,10004207.0,2018,Ibtin,,Ibtin,32.759963,35.114601
1275,אבטליון,AVTALYON,2,24,241.0,56.0,,1.0,470.0,470.0,450.0,,1987,370,10.0,2331474908.0,308.0,205.0,10004513.0,2018,Avtalyon,210.0,Avtalyon,32.835781,35.350442
679,אביאל,AVI'EL,3,32,324.0,45.0,,1.0,815.0,815.0,799.0,,1949,310,9.0,1996171533.0,30.0,351.0,10004333.0,2018,Avi'el,,Avi'el,32.531346,34.993493
1115,אביבים,AVIVIM,2,21,212.0,2.0,,1.0,477.0,477.0,476.0,,1960,310,1.0,2444177707.0,668.0,209.0,10004528.0,2018,Avivim,211.0,Avivim,33.089381,35.470338
819,אביגדור,AVIGEDOR,6,61,611.0,33.0,143.0,1.0,820.0,820.0,813.0,,1950,310,1.0,1757362428.0,55.0,616.0,10001821.0,2018,Avigedor,420.0,Avigedor,31.711901,34.740369
175,אביחיל,AVIHAYIL,4,41,411.0,16.0,141.0,1.0,1410.0,1410.0,1375.0,,1932,310,1.0,1880869527.0,20.0,409.0,10002089.0,2018,Avihayil,,Avihayil,32.350708000000004,34.871229
2052,אביטל,AVITAL,2,23,234.0,8.0,,1.0,502.0,501.0,501.0,1.0,1953,310,1.0,2291271816.0,68.0,204.0,10004394.0,2018,Avital,213.0,Avital,32.557676,35.306412
1070,אביעזר,AVI'EZER,1,11,112.0,26.0,444.0,1.0,865.0,865.0,857.0,,1958,310,2.0,2016662104.0,329.0,151.0,15000597.0,2018,Avi'ezer,,Avi'ezer,31.681996,35.018821
