code,name,population,lat,long,closestHospName,closestHospDist,closestTertHospName,closestTertHospDist
1220,Abbirim,227.0,33.038086,35.286044,Nahariya,31,Rambam,67
472,Abu Ghosh,7543.0,31.806293,35.109193,Shaarey Zedek,12,Hadasa Ein Carem,13
1342,Abu Qureinat,1815.0,31.145681,34.965476,Soroka,31,Soroka,31
473,Abu Sinan,13915.0,32.95803,35.171969,Nahariya,11,Rambam,37
1375,Abu Tulul,1822.0,31.142612,34.913514,Soroka,34,Soroka,34
1068,Adamit,209.0,33.078842,35.20950999999999,Nahariya,18,Rambam,54
2035,Adanim,518.0,32.138798,34.909147999999995,Meir,8,Belinson,9
1123,Adderet,848.0,31.659715,34.994440000000004,Hadasa Ein Carem,33,Hadasa Ein Carem,33
113,Addirim,279.0,32.548941,35.271637,Haemek,16,Rambam,48
1199,Adi,1920.0,32.782353,35.173412,Holy Family,19,Rambam,27
3759,Adora,440.0,31.552219,35.017634,Barzilay,52,Hadasa Ein Carem,58
313,Afeq,684.0,32.838316,35.12778,Rambam,19,Rambam,19
4301,Afiq,329.0,32.779428,35.702994,Poriya,36,Rambam,105
176,Afiqim,1494.0,32.680564000000004,35.57772999999999,Poriya,13,Rambam,83
7700,Afula,51737.0,32.61049310000001,35.28792199999999,Haemek,4,Rambam,47
794,Agur,525.0,31.697475,34.912024,Hadasa Ein Carem,39,Hadasa Ein Carem,39
1157,Ahawa,351.0,31.7776829,35.22419779999999,Hadasa Har Hazofim,4,Hadasa Ein Carem,11
797,Ahi'ezer,1872.0,31.981671,34.871821000000004,Asaf Harofe,12,Shiba,14
785,Ahihud,868.0,32.907405,35.171715,Nahariya,17,Rambam,32
804,Ahisamakh,1374.0,31.931906,34.908576000000004,Asaf Harofe,10,Shiba,24
850,Ahituv,1099.0,32.387701,34.990826,Hilel Yafe,18,Belinson,50
821,Ahuzzam,544.0,31.552682,34.770151,Barzilay,30,Soroka,36
1330,Ahuzzat Baraq,2256.0,32.643101,35.338893,Haemek,7,Rambam,57
7600,Akko,48930.0,32.933052,35.082678,Nahariya,10,Rambam,26
1359,Al Sayyid,5663.0,31.281719,34.916298,Soroka,16,Soroka,16
1316,Al-Aryan,191.0,32.498076,35.125094,Hilel Yafe,29,Rambam,59
1339,Al-Azy,188.0,31.718868,34.814254,Kaplan,23,Shiba,53
3727,Ale Zahav,2739.0,32.072227000000005,35.064135,Asaf Harofe,33,Belinson,34
3750,Alfe Menashe,7865.0,32.170631,35.014858000000004,Meir,14,Belinson,29
1182,Allon HaGalil,1115.0,32.756874,35.220294,Holy Family,13,Rambam,34
3604,Allon Shevut,3151.0,31.654871000000004,35.125256,Hadasa Ein Carem,35,Hadasa Ein Carem,35
429,Allone Abba,991.0,32.730945,35.172028000000005,Scotish,23,Rambam,27
4017,Allone HaBashan,445.0,33.044087,35.838507,Ziv,56,Rambam,123
