code,hebName,engName,lat,long,group
0,שיבא,Shiba,32.04671,34.842852,1
1,רמבם,Rambam,32.8329785,34.9857062,1
2,אסף הרופא,Asaf Harofe,31.9660531,34.8394177,2
3,וולפסון,Wolfson,32.0360309,34.7627074,2
4,זיו,Ziv,32.954157,35.492657,3
5,הלל יפה,Hilel Yafe,32.451313,34.895778,2
6,נהריה,Nahariya,33.0083233,35.1171239,2
7,ברזילי,Barzilay,31.6622785,34.5592871,2
8,פוריה,Poriya,32.7523497,35.5386634,3
9,איכילוב,Ichilov,32.0804971,34.7903713,1
10,בני ציון,Bney Zion,32.8058206,34.992719,2
11,בלינסון,Belinson,32.0886774,34.8667885,1
12,סורוקה,Soroka,31.2591051,34.8020335,1
13,מאיר,Meir,32.1823231,34.8954868,2
14,קפלן,Kaplan,31.8729453,34.8142255,2
15,העמק,Haemek,32.6210762,35.3165964,2
16,הכרמל,Carmel,32.7864002,34.9805234,2
17,השרון,Hasharon,32.0886774,34.8667885,3
18,יוספטל,Yoseftal,29.5544708,34.9403539,3
19,הדסה עין כרם,Hadasa Ein Carem,31.7649503,35.1494106,1
20,הדסה הר הצופים,Hadasa Har Hazofim,31.7974363,35.2422844,3
21,הסקוטי,Scotish,32.7021261,35.2923843,3
22,המשפחה הקדושה,Holy Family,32.704898,35.310839,3
23,שערי צדק,Shaarey Zedek,31.773199,35.185261,2
24,לניאדו,Laniado,32.345488,34.855896,3
25,אוגוסטה ויקטוריה,Augosta Victoria,31.7867012,35.2495524,3
26,מעייני הישועה,Mayney Hayeshua,32.084959,34.844088,3
27,שיינדר,Asaf Harofe,32.0879417,34.8678169,2
28,????? ?????,Asuta Ashdod,31.779092,34.657091,3
,,,,,3
