code,nameHeb,pronaunce,district,shire,naturalArea,monicipal,metro,religion,population,jewsAndOthers,jews,arabs,estbYear,type,ITM,altitude,orgazinationRelated,plansComit,policeArea,year,nameEng,localCuncil,name,lat,long
967,אבו ג'ווייעד (שבט),ABU JUWEI'ID,6,62,623,,,3,,,,,,460,,2040057100,,699,15003711,2018,Abu Juway'ad,,Abu Juway'ad,_,_
472,אבו גוש,ABU GHOSH,1,11,111,99,444,2,7543,97,79,7446,,280,,2105263481,598,152,10002475,2018,Abu Ghosh,,Abu Ghosh,31.806293,35.109193
473,אבו סנאן,ABU SINAN,2,24,245,99,,2,13915,28,11,13887,,270,,2160776284,19,252,10004315,2018,Abu Sinan,,Abu Sinan,32.95803,35.171969
935,אבו סריחאן (שבט),ABU SUREIHAN,6,62,623,,,3,,,,,,460,,1865057450,,699,10001937,2018,Abu Surayhan,,Abu Surayhan,_,_
958,אבו עבדון (שבט),ABU ABDUN,6,62,623,,,3,,,,,,460,,1850057900,,699,10001937,2018,Abu 'Abdun,,Abu 'Abdun,31.301397,34.841655
1042,אבו עמאר (שבט),ABU AMMAR,6,62,623,,,3,,,,,,460,,1950056700,,699,15003711,2018,Abu 'Ammar,,Abu 'Ammar,_,_
932,אבו עמרה (שבט),ABU AMRE,6,62,623,,,3,,,,,,460,,1850057100,,699,10001937,2018,Abu 'Amra,,Abu 'Amra,31.282188,34.872739
1342,אבו קורינאת (יישוב),ABU QUREINAT,6,62,623,68,,2,1815,,,1815,,450,,1963656105,410,624,15003711,2018,Abu Qureinat,610,Abu Qureinat,31.145681,34.965476
968,אבו קורינאת (שבט),ABU QUREINAT,6,62,623,,,3,,,,,,460,,1970056000,,699,15003711,2018,Abu Kuraynat,,Abu Kuraynat,_,_
966,אבו רובייעה (שבט),ABU RUBEI'A,6,62,623,,,3,,,,,,460,,2050057200,,699,10001937,2018,Abu Rubay'a,,Abu Rubay'a,_,_
961,אבו רוקייק (שבט),ABU RUQAYYEQ,6,62,623,,,3,,,,,,460,,1920056600,,699,15003711,2018,Abu Rukayyek,,Abu Rukayyek,_,_
1375,אבו תלול,ABU TULUL,6,62,623,68,,2,1822,1,,1821,,450,,1933456589,340,624,15003711,2018,Abu Tulul,610,Abu Tulul,31.142612,34.913514
652,אבטין,IBTIN,3,31,311,12,222,2,2773,2,2,2771,,290,,2108874076,19,301,10004207,2018,Ibtin,,Ibtin,32.759963,35.114601
1275,אבטליון,AVTALYON,2,24,241,56,,1,470,470,450,,1987,370,10,2331474908,308,205,10004513,2018,Avtalyon,210,Avtalyon,32.835781,35.350442
679,אביאל,AVI'EL,3,32,324,45,,1,815,815,799,,1949,310,9,1996171533,30,351,10004333,2018,Avi'el,,Avi'el,32.531346,34.993493
1115,אביבים,AVIVIM,2,21,212,2,,1,477,477,476,,1960,310,1,2444177707,668,209,10004528,2018,Avivim,211,Avivim,33.089381,35.470338
819,אביגדור,AVIGEDOR,6,61,611,33,143,1,820,820,813,,1950,310,1,1757362428,55,616,10001821,2018,Avigedor,420,Avigedor,31.711901,34.740369
175,אביחיל,AVIHAYIL,4,41,411,16,141,1,1410,1410,1375,,1932,310,1,1880869527,20,409,10002089,2018,Avihayil,,Avihayil,32.350708,34.871229
2052,אביטל,AVITAL,2,23,234,8,,1,502,501,501,1,1953,310,1,2291271816,68,204,10004394,2018,Avital,213,Avital,32.557676,35.306412
1070,אביעזר,AVI'EZER,1,11,112,26,444,1,865,865,857,,1958,310,2,2016662104,329,151,15000597,2018,Avi'ezer,,Avi'ezer,31.681996,35.018821
1220,אבירים,ABBIRIM,2,24,244,52,,1,227,227,211,,1980,370,19,2271577149,541,255,10004484,2018,Abbirim,212,Abbirim,33.038086,35.286044
182,אבן יהודה,EVEN YEHUDA,4,41,411,99,141,1,13700,13698,13495,2,1932,170,,1894468643,10,457,15000060,2018,Even Yehuda,,Even Yehuda,32.2700426,34.8809634
1081,אבן מנחם,EVEN MENAHEM,2,24,244,52,,1,297,297,293,,1960,310,1,2278277545,550,255,10004302,2018,Even Menahem,212,Even Menahem,33.075143,35.295219
783,אבן ספיר,EVEN SAPPIR,1,11,111,26,444,1,724,722,704,2,1950,310,1,2128463002,571,151,10002521,2018,Even Sappir,,Even Sappir,31.7625,35.134991
400,אבן שמואל,EVEN SHEMU'EL,6,61,612,34,,1,1675,1675,1673,,1956,350,,1775460940,150,631,10001813,2018,Even Shemu'el,,Even Shemu'el,31.576429,34.762963
4011,אבני איתן,AVNE ETAN,2,29,294,71,,1,714,714,714,,1978,310,2,2719674774,346,219,10004579,2018,Avne Etan,211,Avne Etan,32.824808,35.765777
3793,אבני חפץ,AVNE HEFEZ,7,73,,72,,1,1895,1895,1883,,1990,370,11,2070868793,143,710,10003262,2018,Avne Hefez,,Avne Hefez,32.284628,35.074551
3786,אבנת,AVENAT,7,75,,74,,1,185,185,185,,1983,370,,2414762075,-359,713,10003314,2018,Avenat,,Avenat,31.679039,35.436945
1311,אבשלום,AVSHALOM,6,62,622,38,,1,274,274,196,,1990,370,10,1361956745,89,651,10001893,2018,Avshalom,620,Avshalom,31.195397,34.3312
3759,אדורה,ADORA,7,77,,78,,1,440,440,434,,1984,370,9,2016960665,552,715,15003512,2018,Adora,,Adora,31.552219,35.017634
113,אדירים,ADDIRIM,2,23,234,8,,1,279,279,278,,1956,310,1,2257971719,69,204,10004394,2018,Addirim,213,Addirim,32.548941,35.271637
